Car_ID,Year,Make,Model,Score,Rank,rankMake
113,2012,Acura,"Tsx sportwagon",116,4,1
112,2008,Acura,TL,110,6,2
50,2015,Acura,TLX,102,8,3
15,2014,Audi,S4,120,3,1
18,2015,Audi,S3,38,83,2
116,2008,Audi,A4,28,98,3
2,2016,Bmw,M2,24,108,1
172,2014,Bmw,4,22,117,2
111,2007,Bmw,328i,10,140,3
218,2010,Chevy,Camaro,64,33,1
170,2014,Chevy,Cruze,50,55,2
0,2015,Chevy,Camaro,0,166,3
216,2007,Chrystler,300,96,11,1
42,2001,Dodge,Viper,8,149,1
137,2017,Ford,"Focus rs",54,49,1
120,2014,Ford,"Focus st",30,94,2
219,2016,Ford,"Focus rs",26,104,3
83,2014,Honda,Accord,112,5,1
65,2009,Honda,Fit,106,7,2
31,2007,Honda,Fit,102,9,3
30,2012,Hyundai,Celoster,66,30,1
38,2017,Hyundai,"Elantra sport",62,40,2
92,2017,Hyundai,"Elantra sport",30,95,3
128,2010,Infiniti,G37,128,1,1
122,2011,Infiniti,M37s,44,68,2
20,2009,Infiniti,G37,38,79,3
124,2015,Jeep,Wrangler,124,2,1
123,2006,Lexus,Sc430,66,31,1
222,2015,Lexus,Is250,40,74,2
190,1995,Lexus,Sc300,10,146,3
52,2007,Mazda,"Speed 3",48,59,1
78,2015,Mazda,6,36,86,2
141,1993,Mazda,Miata,26,105,3
25,2012,Mercedes,C250,78,22,1
84,2012,Mercedes,Cl63amg,70,28,2
17,2016,Mercedes,C43,34,88,3
91,2010,Mitsu,Lancer,102,10,1
140,1995,Mitsu,Evo8,44,63,2
176,2014,Mitsu,Lancer,40,76,3
228,2010,Nissan,370,92,12,1
161,2012,Nissan,370z,84,18,2
3,2011,Nissan,370,84,19,3
57,2015,Scion,Frs,80,21,1
235,2013,Scion,Frs,20,121,2
36,2016,Subaru,WRX,74,24,1
33,2015,Subaru,Sti,68,29,2
21,2009,Subaru,WRX,62,37,3
142,1993,Toyota,Supra,58,43,1
110,2011,Toyota,Camry,58,44,2
43,2011,Toyota,"4 Runner",54,47,3
126,2010,Volkswagen,Eos,92,14,1
180,2011,Volkswagen,Gti,82,20,2
156,2014,Volkswagen,Gli,56,45,3
100,2006,Volvo,S60r,22,116,1
